[Header] 2014-02-11 14:17:51,352 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Application [AWS GLacier Tool] Start
2014-02-11 14:17:51,398 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Form1
2014-02-11 14:17:51,403 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - GlaierTool Start 2/11/2014 2:17:51 PM
2014-02-11 14:17:53,878 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Making ArchiveLog :GlacierTransationLog_files_2_11_201421753PM.csv
2014-02-11 14:17:53,879 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Making ArchiveLog :Tar_FileID_files_2_11_201421753PM.csv
2014-02-11 14:17:53,890 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Making Tar Log : GlacierTarLog_files_Part0_2_11_201421753PM.csv
2014-02-11 14:17:53,890 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Tar FileName : GlacierTARBall_files_Part0_2_11_201421753PM.tar
2014-02-11 14:17:53,903 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Moving \\\\rilakkuma\temp\Gei0259232_partB1_slide1_Alexa Fluor 488.tif to G:\KL\klAWS\bin\x64
2014-02-11 14:17:55,320 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide1_Alexa Fluor 488.tif = 99b9b44d6804c34fe7ace5c17333709e7f6139f5561150f454d70348dddc3c98
2014-02-11 14:17:55,452 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide1_Alexa Fluor 488.tif = System.Byte[]
2014-02-11 14:17:58,508 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Moving \\\\rilakkuma\temp\Gei0259232_partB1_slide1_Alexa Fluor 555.tif to G:\KL\klAWS\bin\x64
2014-02-11 14:17:59,879 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide1_Alexa Fluor 555.tif = e44a4e078c99f7da99c02235e5f3930a859e0757f2f16f25e950dc1f4053fced
2014-02-11 14:17:59,997 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide1_Alexa Fluor 555.tif = System.Byte[]
2014-02-11 14:18:00,103 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Moving \\\\rilakkuma\temp\Gei0259232_partB1_slide1_Alexa Fluor 647.tif to G:\KL\klAWS\bin\x64
2014-02-11 14:18:01,482 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide1_Alexa Fluor 647.tif = f065e68b7fc7b6e95cc7d6aab236f11b55c35337a7fe4fc6b63478467b8e4428
2014-02-11 14:18:01,605 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide1_Alexa Fluor 647.tif = System.Byte[]
2014-02-11 14:18:01,684 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Moving \\\\rilakkuma\temp\Gei0259232_partB1_slide1_Hoechst 33342.tif to G:\KL\klAWS\bin\x64
2014-02-11 14:18:03,051 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide1_Hoechst 33342.tif = 26a9e0969279d7e68f073725d9c0ed98f157cdb9fe445f08c643fb7b7c7a6cd7
2014-02-11 14:18:03,171 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide1_Hoechst 33342.tif = System.Byte[]
2014-02-11 14:18:03,241 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Moving \\\\rilakkuma\temp\Gei0259232_partB1_slide2.afi to G:\KL\klAWS\bin\x64
2014-02-11 14:18:03,245 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide2.afi = cd1ac60b271129ee956c8791043f940163ba1356bc52e1ac7de7f57e5217fff5
2014-02-11 14:18:03,245 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide2.afi = System.Byte[]
2014-02-11 14:18:03,304 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - Moving \\\\rilakkuma\temp\Gei0259232_partB1_slide2_Alexa Fluor 488.tif to G:\KL\klAWS\bin\x64
2014-02-11 14:18:04,395 [9] INFO  AWSGlaicer.Form1 [(null)] <(null)> - SHA256 Checksum  : G:\KL\klAWS\bin\x64\Gei0259232_partB1_slide2_Alexa Fluor 488.tif = 3dad0a9fe3ebae75dc3b331b2394c5fbec3253f028716e2e24df3292c12129c4
